                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.81005,                0.59729,                0.88102,                0.97837,                0.86217,                0.88248,                0.80747,                0.62501,                0.77478,                0.59029,                0.85826,                0.60867,                0.90466,                0.95832,                0.82586,                0.90219,             0.00043921,             0.00043921,             0.00043921
                     53,                  0.822,                0.57243,                0.89185,                0.97969,                 0.7974,                0.89052,                 0.8186,                 0.5837,                0.71994,                0.54012,                0.87502,                0.64772,                0.90288,                0.96403,                 0.8867,                0.89873,             0.00043747,             0.00043747,             0.00043747
                     54,                0.81401,                0.58997,                0.88844,                0.99314,                0.82043,                0.88749,                 0.8597,                 0.5787,                0.74107,                 0.5634,                0.86188,                0.62334,                0.89006,                0.94903,                0.80524,                0.88677,             0.00043574,             0.00043574,             0.00043574
                     55,                0.82362,                0.57732,                0.89057,                 1.0006,                0.83794,                0.88503,                0.83961,                0.61502,                0.75522,                0.58071,                0.88987,                0.60667,                0.91296,                0.98763,                0.79585,                 0.9052,               0.000434,               0.000434,               0.000434
                     56,                0.81012,                0.58127,                0.89146,                 1.0091,                0.85729,                0.89602,                 0.6826,                0.72892,                0.79115,                0.60681,                0.87351,                0.58278,                0.89913,                 0.9771,                0.78178,                0.89481,             0.00043227,             0.00043227,             0.00043227
                     57,                0.82916,                 0.5796,                0.90857,                 1.0088,                0.83152,                0.90857,                0.76017,                0.69387,                0.76955,                 0.6005,                0.87763,                0.57851,                0.90071,                0.97169,                 0.7326,                0.89177,             0.00043053,             0.00043053,             0.00043053
                     58,                0.83758,                0.58512,                0.89216,                0.99401,                0.78626,                0.89249,                0.76187,                0.66169,                0.75131,                0.58885,                0.86945,                0.61039,                 0.9056,                0.97229,                 0.7519,                0.89556,              0.0004288,              0.0004288,              0.0004288
                     59,                0.80425,                0.55784,                0.89525,                0.98085,                0.78105,                0.88928,                0.78428,                0.67259,                0.80736,                0.62202,                0.87214,                0.56737,                0.90084,                 0.9705,                 0.7443,                0.89339,             0.00042706,             0.00042706,             0.00042706
                     60,                0.79829,                0.55388,                0.89354,                0.96768,                 0.7612,                0.90044,                0.78388,                0.69226,                0.79279,                0.60887,                0.90134,                0.57929,                0.90697,                 1.0128,                0.70992,                0.90794,             0.00042532,             0.00042532,             0.00042532
                     61,                0.84893,                0.56363,                0.89675,                  1.046,                 0.7648,                0.89799,                0.78926,                0.64889,                 0.7958,                  0.601,                0.87171,                0.57395,                0.89924,                0.96005,                 0.7286,                0.89511,             0.00042359,             0.00042359,             0.00042359
                     62,                0.80359,                0.54072,                0.89051,                0.99399,                0.76323,                0.89007,                0.78079,                0.68267,                0.78319,                  0.609,                0.89759,                0.58522,                 0.8991,                0.98598,                0.74709,                0.89133,             0.00042185,             0.00042185,             0.00042185
