                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.87597,                0.71475,                 0.9129,                 1.0858,                 1.2242,                 0.9053,                0.88549,                0.46874,                0.62225,                0.46188,                 0.8901,                0.83049,                0.90639,                0.99926,                 1.3911,                0.90902,             0.00044268,             0.00044268,             0.00044268
                     35,                0.86673,                0.73122,                0.90309,                 1.0724,                 1.1988,                0.90828,                0.75697,                0.52816,                0.68962,                 0.5022,                0.88603,                0.78774,                0.89591,                0.99571,                  1.249,                0.89688,             0.00044008,             0.00044008,             0.00044008
                     36,                0.85995,                0.70373,                0.90041,                 1.0353,                 1.0883,                 0.8997,                0.51619,                0.61228,                 0.5666,                0.41584,                 0.9163,                0.92267,                0.90782,                 1.0112,                 1.4191,                0.90697,             0.00043747,             0.00043747,             0.00043747
                     37,                0.85636,                 0.6776,                 0.9173,                 1.0202,                 1.0937,                0.90943,                 0.7777,                0.57913,                0.66567,                0.51538,                0.88035,                0.70722,                0.90973,                0.97496,                 1.0774,                0.89817,             0.00043487,             0.00043487,             0.00043487
                     38,                0.85473,                0.70278,                0.90859,                 1.0329,                  1.084,                0.89583,                0.63911,                0.65899,                0.68162,                 0.5078,                0.88611,                0.74101,                0.89806,                0.97972,                 1.1819,                0.90029,             0.00043227,             0.00043227,             0.00043227
                     39,                0.85736,                0.67005,                0.89883,                 1.0592,                 1.0892,                0.90441,                0.62894,                0.72811,                0.71398,                 0.5317,                0.89232,                0.71706,                0.90796,                0.99595,                 1.0568,                0.90175,             0.00042966,             0.00042966,             0.00042966
                     40,                0.86611,                0.66936,                0.89802,                 1.0782,                  1.082,                0.90309,                0.78141,                0.56985,                0.71992,                0.52429,                0.92154,                0.68166,                0.90842,                 1.0055,                 1.0548,                0.90569,             0.00042706,             0.00042706,             0.00042706
                     41,                0.84061,                0.63198,                0.89538,                 1.0317,                  1.016,                0.89075,                0.64806,                 0.6774,                0.70844,                0.53275,                0.90634,                0.71836,                0.90404,                 1.0152,                 1.0445,                0.90614,             0.00042446,             0.00042446,             0.00042446
                     42,                0.86208,                0.64855,                 0.9062,                 1.0729,                  1.057,                 0.9082,                0.78945,                0.56652,                0.68687,                0.49961,                0.89815,                0.68393,                0.89966,                0.99406,                 1.0558,                0.90046,             0.00042185,             0.00042185,             0.00042185
                     43,                0.84906,                0.64835,                 0.9027,                 1.0488,                0.99146,                0.90402,                0.73267,                 0.6835,                0.72625,                0.53703,                0.87775,                0.63338,                0.89787,                0.95439,                0.95539,                0.89352,             0.00041925,             0.00041925,             0.00041925
                     44,                0.83934,                 0.6347,                0.91319,                 1.0322,                0.97387,                 0.9109,                 0.8051,                  0.609,                0.73555,                0.56396,                0.86217,                0.64333,                0.89529,                 0.9369,                0.96124,                0.88327,             0.00041664,             0.00041664,             0.00041664
                     45,                0.82124,                0.62268,                0.88855,                0.99577,                0.93301,                0.88702,                0.81164,                 0.6453,                0.75452,                0.57803,                0.89303,                0.72788,                0.90963,                 1.0033,                 0.9996,                 0.9062,             0.00041404,             0.00041404,             0.00041404
                     46,                0.83699,                0.62862,                0.89141,                 1.0219,                0.94668,                0.89021,                0.71404,                0.61368,                0.73571,                0.53747,                0.88481,                0.71169,                0.89181,                0.97807,                0.98375,                0.88934,             0.00041144,             0.00041144,             0.00041144
                     47,                0.81393,                0.60531,                0.88964,                0.98873,                0.92753,                0.88625,                0.72866,                0.73537,                0.76324,                0.57724,                0.86711,                0.65454,                0.89067,                0.98345,                0.95775,                0.88944,             0.00040883,             0.00040883,             0.00040883
                     48,                0.82726,                0.61253,                  0.907,                0.98739,                0.91076,                0.90947,                0.75024,                0.68899,                0.77534,                0.57377,                0.87918,                0.60229,                0.90063,                0.98356,                0.86731,                0.90065,             0.00040623,             0.00040623,             0.00040623
                     49,                0.84018,                0.61191,                0.89515,                 1.0396,                0.89351,                0.89355,                0.83879,                0.64352,                0.75136,                0.57268,                0.85416,                0.60814,                0.89166,                0.98058,                0.87945,                0.89567,             0.00040363,             0.00040363,             0.00040363
                     50,                0.84336,                0.59931,                0.89262,                 1.0206,                0.86825,                0.88896,                0.86261,                0.69125,                0.74114,                0.56671,                0.89004,                0.61082,                 0.8999,                0.97731,                0.88183,                 0.8884,             0.00040102,             0.00040102,             0.00040102
                     51,                 0.8487,                0.60713,                 0.8948,                 1.0346,                0.88158,                0.89129,                0.73201,                0.64672,                0.76429,                0.59066,                0.86599,                0.62896,                0.89098,                0.94705,                0.84613,                0.88103,             0.00039842,             0.00039842,             0.00039842
                     52,                0.80485,                0.57072,                0.87376,                 1.0058,                 0.8198,                0.88087,                0.81559,                0.63329,                 0.7737,                  0.596,                0.86428,                 0.6159,                0.89083,                0.95301,                0.83303,                0.88409,             0.00039581,             0.00039581,             0.00039581
                     53,                0.80121,                0.56447,                0.88212,                0.96958,                0.81648,                 0.8859,                 0.7163,                0.75926,                0.77787,                0.58704,                 0.8697,                0.61173,                0.89471,                0.94773,                0.83114,                0.88542,             0.00039321,             0.00039321,             0.00039321
                     54,                 0.8092,                0.56281,                0.88681,                0.98548,                0.80741,                0.88011,                0.71214,                0.69791,                0.74111,                0.55134,                0.88689,                 0.6244,                0.89632,                0.98417,                0.85203,                 0.8898,             0.00039061,             0.00039061,             0.00039061
                     55,                0.80722,                0.58308,                 0.8864,                  0.985,                0.85291,                0.88091,                0.73976,                0.67617,                0.74266,                0.57112,                0.87019,                0.61015,                  0.901,                0.95885,                0.87636,                 0.8927,               0.000388,               0.000388,               0.000388
                     56,                0.80136,                0.56757,                0.89051,                 1.0033,                0.86783,                 0.8909,                0.84895,                0.70876,                0.82675,                0.61769,                0.87828,                0.55798,                 0.8968,                0.97838,                0.74361,                0.89159,              0.0003854,              0.0003854,              0.0003854
                     57,                0.81628,                0.58396,                0.90072,                0.99143,                0.86175,                0.90092,                0.72215,                0.69448,                0.74303,                0.56446,                0.86826,                0.59714,                0.89314,                0.95353,                0.82939,                0.88576,              0.0003828,              0.0003828,              0.0003828
                     58,                0.82799,                0.58919,                0.88473,                 1.0084,                0.83509,                0.88206,                0.82484,                0.57963,                0.73141,                 0.5554,                0.87242,                0.57266,                0.89802,                0.97918,                0.82833,                0.89537,             0.00038019,             0.00038019,             0.00038019
                     59,                0.78703,                0.55935,                0.88804,                0.96462,                0.78951,                0.87562,                0.82726,                0.69221,                0.77391,                 0.5832,                 0.8833,                0.56644,                0.89633,                0.96121,                0.81232,                0.88617,             0.00037759,             0.00037759,             0.00037759
                     60,                0.77684,                0.55222,                0.89152,                0.95466,                0.78044,                0.89316,                0.82595,                0.62981,                 0.7687,                0.59072,                0.88835,                0.57856,                0.89981,                0.97689,                0.79294,                0.89374,             0.00037499,             0.00037499,             0.00037499
                     61,                0.83705,                0.56959,                0.88825,                 1.0383,                 0.7705,                0.89015,                0.77177,                0.71922,                0.79662,                0.60855,                0.85873,                0.58035,                0.89508,                0.96299,                0.79099,                0.89149,             0.00037238,             0.00037238,             0.00037238
                     62,                0.80136,                0.53972,                0.89198,                0.97018,                0.77578,                0.88339,                0.80508,                0.75466,                0.83085,                0.63984,                0.88867,                0.60507,                0.89293,                0.99068,                 0.8037,                0.89077,             0.00036978,             0.00036978,             0.00036978
                     63,                0.80547,                0.54401,                0.89755,                0.96243,                0.72296,                0.88924,                0.92427,                0.61983,                0.83531,                0.63191,                0.86637,                0.58188,                0.89263,                0.96821,                0.79596,                0.89255,             0.00036717,             0.00036717,             0.00036717
                     64,                0.77444,                0.53151,                0.88269,                0.96685,                0.76762,                 0.8862,                0.75018,                0.79525,                0.83646,                 0.6316,                0.86904,                0.57014,                0.89754,                0.95111,                0.75074,                0.89153,             0.00036457,             0.00036457,             0.00036457
                     65,                0.78481,                0.51518,                 0.8752,                0.97348,                0.71372,                0.88006,                0.85856,                0.69563,                0.80427,                0.61008,                0.85835,                0.52047,                0.89471,                0.95172,                0.74028,                0.88162,             0.00036197,             0.00036197,             0.00036197
                     66,                0.81735,                0.54924,                0.87727,                0.98964,                0.77016,                0.88074,                0.73288,                0.66534,                0.76331,                0.58882,                0.87881,                0.53049,                0.90075,                0.97542,                0.70755,                0.89274,             0.00035936,             0.00035936,             0.00035936
                     67,                0.77678,                0.51995,                0.87838,                0.94085,                0.71439,                0.87639,                0.69211,                0.72628,                0.80363,                0.60309,                 0.8884,                0.57394,                0.90104,                0.98644,                0.74616,                0.89133,             0.00035676,             0.00035676,             0.00035676
                     68,                0.77699,                0.49973,                 0.8699,                0.97663,                0.69969,                0.86855,                0.75643,                0.75098,                0.82099,                0.63016,                0.87147,                0.55659,                0.89761,                0.96555,                0.71739,                0.89048,             0.00035416,             0.00035416,             0.00035416
                     69,                0.77952,                0.50388,                0.88515,                0.94067,                0.70218,                0.88388,                0.79357,                0.73846,                0.79884,                0.60454,                0.88923,                0.56037,                0.90018,                0.96197,                0.70865,                0.89289,             0.00035155,             0.00035155,             0.00035155
                     70,                0.75949,                0.50708,                0.87699,                0.93412,                0.69959,                0.88213,                0.67212,                0.78821,                0.79103,                0.60058,                0.90288,                 0.6035,                0.90134,                0.98807,                0.78726,                0.89385,             0.00034895,             0.00034895,             0.00034895
                     71,                0.78762,                 0.5176,                0.87949,                 0.9792,                0.71792,                0.88099,                0.84312,                0.69455,                0.78891,                0.60382,                0.88715,                0.56849,                0.89782,                 1.0007,                0.77147,                0.89203,             0.00034634,             0.00034634,             0.00034634
                     72,                0.77912,                0.51044,                0.87788,                0.96186,                0.70103,                0.88282,                0.85529,                0.70915,                0.82091,                 0.6282,                0.88298,                 0.5365,                0.90097,                0.98961,                0.66677,                0.89335,             0.00034374,             0.00034374,             0.00034374
                     73,                0.76818,                0.49987,                 0.8838,                0.95257,                0.67566,                0.88179,                0.83079,                0.71735,                0.84364,                 0.6423,                0.85742,                0.55726,                0.89977,                0.95937,                0.72084,                0.88841,             0.00034114,             0.00034114,             0.00034114
                     74,                0.76804,                0.50722,                0.86596,                0.95682,                0.68402,                0.87073,                0.76646,                0.74302,                0.85355,                0.66094,                0.88539,                0.53675,                0.90751,                0.95975,                0.68163,                0.88966,             0.00033853,             0.00033853,             0.00033853
                     75,                0.76261,                0.48758,                0.87374,                0.96044,                0.66696,                 0.8741,                0.79636,                0.72433,                  0.821,                0.64144,                0.88087,                0.53264,                0.90362,                0.97484,                0.67729,                0.88852,             0.00033593,             0.00033593,             0.00033593
                     76,                0.76498,                0.48688,                0.88496,                0.93691,                0.64346,                0.87987,                 0.7281,                0.77823,                0.84915,                0.64338,                0.87359,                 0.5563,                0.89582,                0.96311,                0.69553,                0.88534,             0.00033333,             0.00033333,             0.00033333
                     77,                0.75407,                 0.4796,                0.86884,                0.94339,                0.62931,                0.86511,                0.89406,                0.72262,                0.84442,                0.64411,                0.86459,                 0.5248,                0.89422,                0.96402,                0.66129,                0.89111,             0.00033072,             0.00033072,             0.00033072
                     78,                0.77862,                0.49794,                 0.8721,                0.93784,                0.64853,                0.86666,                0.85655,                0.76771,                0.85056,                0.63166,                 0.8702,                0.53067,                 0.8882,                0.97083,                0.69675,                 0.8823,             0.00032812,             0.00032812,             0.00032812
                     79,                0.73189,                0.48305,                0.87173,                 0.9056,                0.62325,                0.86865,                0.87235,                0.73799,                0.85336,                0.64626,                0.87016,                0.52412,                0.89414,                0.97338,                0.65906,                 0.8868,             0.00032552,             0.00032552,             0.00032552
                     80,                0.74767,                0.47904,                0.87497,                0.92966,                  0.629,                0.87571,                0.77486,                0.79262,                0.84689,                 0.6504,                0.84593,                0.50711,                0.89222,                0.94734,                0.63903,                0.88582,             0.00032291,             0.00032291,             0.00032291
                     81,                 0.7614,                0.49453,                0.88065,                0.92858,                0.65868,                0.87404,                 0.8205,                0.71706,                0.83437,                0.62084,                0.85722,                0.54181,                 0.8944,                0.93874,                0.70131,                 0.8819,             0.00032031,             0.00032031,             0.00032031
                     82,                0.77185,                0.49961,                0.87668,                0.95302,                0.68334,                0.87734,                0.76633,                0.73278,                0.82937,                0.61606,                0.88112,                0.53568,                0.89531,                 0.9709,                0.71165,                0.88537,              0.0003177,              0.0003177,              0.0003177
                     83,                0.76703,                0.50173,                0.88503,                0.93277,                 0.6775,                 0.8823,                0.72375,                0.77627,                 0.8476,                0.65513,                0.86084,                0.54603,                 0.8892,                0.95691,                0.66816,                0.88285,              0.0003151,              0.0003151,              0.0003151
                     84,                0.72314,                0.48575,                0.87334,                0.89875,                0.63807,                0.87472,                0.84697,                0.65852,                0.80173,                0.60935,                0.87686,                0.52615,                 0.8969,                0.97577,                0.66883,                0.88749,              0.0003125,              0.0003125,              0.0003125
                     85,                0.74608,                0.48041,                0.88742,                0.91328,                0.64501,                0.88662,                0.80525,                0.74312,                 0.8368,                0.63123,                0.87307,                0.56853,                0.89421,                0.96682,                0.69203,                0.88728,             0.00030989,             0.00030989,             0.00030989
                     86,                0.71504,                0.46265,                0.88005,                0.88369,                0.60951,                0.87913,                0.88678,                0.75064,                0.84725,                0.63979,                0.88755,                0.49161,                0.89385,                0.96671,                0.59432,                0.88512,             0.00030729,             0.00030729,             0.00030729
                     87,                0.73387,                0.48528,                0.86622,                0.91778,                0.66064,                0.86555,                0.85978,                0.77766,                0.83951,                0.64584,                0.88499,                0.50142,                0.89644,                0.95463,                 0.6004,                0.88701,             0.00030469,             0.00030469,             0.00030469
                     88,                0.72875,                 0.4689,                0.86398,                0.91739,                0.60188,                0.86422,                0.86895,                  0.746,                 0.8602,                0.66237,                 0.8652,                0.48948,                0.88833,                  0.949,                0.57345,                0.88369,             0.00030208,             0.00030208,             0.00030208
                     89,                0.72265,                   0.46,                0.86593,                0.90284,                0.62585,                0.86416,                0.86862,                0.77317,                0.83509,                0.64203,                0.87738,                 0.5117,                0.89676,                0.93817,                 0.6323,                0.88245,             0.00029948,             0.00029948,             0.00029948
                     90,                0.70875,                0.45184,                0.84934,                0.88231,                0.56896,                0.85463,                0.81275,                0.78693,                0.84283,                0.64331,                0.87844,                0.48782,                0.89556,                0.95093,                0.59766,                0.88528,             0.00029687,             0.00029687,             0.00029687
                     91,                0.73748,                 0.4624,                0.87059,                  0.904,                0.60307,                0.86756,                0.72553,                 0.7845,                0.84315,                0.63951,                0.88436,                0.55307,                 0.8976,                0.96692,                0.67228,                0.88725,             0.00029427,             0.00029427,             0.00029427
                     92,                0.72093,                0.44956,                0.86001,                0.88474,                0.58573,                0.86273,                0.83433,                0.77172,                0.83713,                0.65233,                0.85671,                0.46728,                0.89466,                0.94414,                0.59855,                0.88443,             0.00029167,             0.00029167,             0.00029167
                     93,                0.74935,                0.46687,                0.88192,                0.91106,                 0.5899,                 0.8798,                 0.7953,                0.75605,                0.82937,                0.62902,                0.87731,                0.49441,                0.89586,                0.97012,                0.63462,                0.89246,             0.00028906,             0.00028906,             0.00028906
                     94,                0.72889,                0.45867,                0.87082,                0.88732,                0.59517,                0.87327,                0.92027,                0.71419,                0.83404,                0.63261,                0.87722,                0.46914,                0.89644,                0.96743,                0.58756,                0.88954,             0.00028646,             0.00028646,             0.00028646
