                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                 1.0685,                0.58382,                 1.0256,                 1.2754,                0.62709,                 1.0298,                0.88349,                0.81498,                0.86623,                0.63228,                 0.9505,                0.48234,                0.95644,                 1.0782,                0.46557,                0.96101,               0.008746,               0.008746,               0.008746
                     41,                 1.0656,                 0.5834,                 1.0173,                 1.2742,                0.64115,                 1.0226,                0.92493,                0.76091,                0.87199,                0.63072,                0.90175,                0.48772,                0.93679,                0.99592,                0.44896,                0.93246,               0.008713,               0.008713,               0.008713
                     42,                 1.0651,                0.58849,                 1.0137,                  1.273,                0.64342,                 1.0213,                 0.9063,                0.72955,                 0.8773,                0.66703,                0.87689,                0.49727,                0.92604,                0.96086,                0.45985,                0.92311,                0.00868,                0.00868,                0.00868
                     43,                 1.0705,                0.58328,                  1.021,                 1.2903,                0.64054,                 1.0247,                0.90021,                0.74173,                0.88253,                 0.6579,                0.89549,                0.47965,                0.92479,                 1.0043,                0.42026,                0.92814,               0.008647,               0.008647,               0.008647
                     44,                 1.0576,                0.58222,                 1.0134,                 1.2618,                0.63484,                 1.0185,                0.90432,                0.81466,                0.89878,                0.66591,                0.90697,                0.47572,                0.93602,                0.99223,                0.41518,                0.93344,               0.008614,               0.008614,               0.008614
                     45,                 1.0502,                0.56374,                 1.0137,                 1.2563,                0.61861,                 1.0231,                0.87541,                0.79861,                0.87712,                0.66061,                0.87154,                0.45012,                0.91967,                0.97256,                0.40454,                0.91764,               0.008581,               0.008581,               0.008581
                     46,                 1.0436,                0.57427,                 1.0071,                 1.2393,                0.61396,                 1.0156,                0.89032,                0.78431,                0.88916,                0.65314,                0.87453,                0.48562,                0.92183,                0.98159,                0.42295,                0.92396,               0.008548,               0.008548,               0.008548
                     47,                 1.0305,                0.55721,                 1.0025,                 1.2358,                0.60021,                 1.0047,                0.79247,                0.87773,                0.90203,                0.67941,                0.93443,                0.46369,                0.94459,                 1.0203,                0.40311,                0.93474,               0.008515,               0.008515,               0.008515
                     48,                 1.0323,                0.55013,                 1.0076,                 1.2386,                0.58646,                 1.0103,                0.85472,                0.78842,                0.85002,                0.62897,                 0.8787,                0.45736,                0.93402,                0.99812,                0.44323,                0.92791,               0.008482,               0.008482,               0.008482
                     49,                 1.0432,                0.57008,                 1.0064,                 1.2449,                0.62988,                 1.0108,                0.87267,                0.76529,                0.88409,                0.64713,                0.91031,                0.49383,                0.94701,                 1.0239,                0.44033,                 0.9466,               0.008449,               0.008449,               0.008449
                     50,                 1.0312,                0.55826,                 1.0074,                 1.2473,                0.59679,                  1.014,                0.88275,                0.82812,                0.89464,                0.66986,                0.91834,                0.46942,                0.94597,                 1.0038,                0.39943,                0.93767,               0.008416,               0.008416,               0.008416
                     51,                 1.0185,                0.55069,                 1.0004,                 1.2217,                0.57482,                 1.0036,                 0.9202,                0.77008,                0.87938,                0.65789,                0.88879,                0.47356,                0.92963,                 0.9709,                0.43872,                0.91961,               0.008383,               0.008383,               0.008383
                     52,                 1.0194,                0.54194,                0.99747,                 1.2188,                0.57227,                  1.003,                0.86862,                0.80914,                0.86179,                0.64812,                0.89698,                0.44645,                0.92826,                0.99148,                0.41462,                0.92625,                0.00835,                0.00835,                0.00835
                     53,                 1.0261,                0.55339,                 1.0012,                 1.2278,                0.59058,                 1.0087,                0.79358,                0.91079,                0.87937,                0.64532,                0.90469,                0.44663,                0.93113,                 0.9959,                0.39817,                0.92004,               0.008317,               0.008317,               0.008317
