                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.78623,                0.53518,                0.86529,                0.80123,                0.78788,                0.83121,                0.63631,                0.88176,                0.55095,                0.89304,             0.00043227,             0.00043227,             0.00043227
                     56,                0.81443,                0.55977,                0.87671,                0.83512,                0.79027,                0.86894,                 0.6557,                 0.8897,                0.54389,                0.89271,             0.00043053,             0.00043053,             0.00043053
                     57,                0.78345,                0.54109,                0.88161,                0.83581,                0.80224,                0.88954,                 0.6725,                0.85644,                0.51415,                0.88575,              0.0004288,              0.0004288,              0.0004288
                     58,                0.77686,                0.53728,                0.87363,                0.85631,                0.81671,                 0.8784,                0.67264,                0.87526,                0.52478,                 0.8937,             0.00042706,             0.00042706,             0.00042706
                     59,                0.76533,                0.52998,                0.86899,                0.81492,                0.81559,                0.85514,                0.64725,                0.86049,                0.54374,                0.88999,             0.00042532,             0.00042532,             0.00042532
                     60,                0.76374,                0.52233,                0.86618,                0.71628,                0.85489,                0.83096,                0.63169,                0.87667,                0.54629,                0.89816,             0.00042359,             0.00042359,             0.00042359
                     61,                0.76103,                0.54234,                0.86406,                0.79114,                0.85959,                0.84628,                 0.6439,                0.87206,                0.53914,                0.89225,             0.00042185,             0.00042185,             0.00042185
                     62,                0.76455,                0.51853,                0.87601,                0.86409,                0.73679,                0.89063,                 0.6581,                0.89209,                0.55702,                0.89405,             0.00042012,             0.00042012,             0.00042012
                     63,                 0.7987,                0.52374,                0.87223,                0.79822,                0.79745,                0.86613,                0.65305,                0.86396,                0.53645,                0.89173,             0.00041838,             0.00041838,             0.00041838
                     64,                0.74322,                0.52364,                0.86138,                0.82206,                0.80991,                0.89748,                0.67268,                0.87852,                0.51749,                0.88891,             0.00041664,             0.00041664,             0.00041664
                     65,                0.76399,                0.52797,                0.87471,                0.75558,                 0.8006,                0.83834,                0.63766,                0.85878,                0.53542,                0.88025,             0.00041491,             0.00041491,             0.00041491
                     66,                0.74649,                0.50085,                0.87764,                0.79309,                0.83102,                0.84385,                0.65142,                0.87358,                0.50403,                0.89101,             0.00041317,             0.00041317,             0.00041317
                     67,                0.74922,                0.51065,                0.86933,                0.89739,                  0.739,                0.88772,                0.68801,                0.87753,                0.50249,                0.88678,             0.00041144,             0.00041144,             0.00041144
                     68,                0.78478,                0.51334,                0.87136,                0.82032,                0.81089,                 0.8632,                 0.6365,                0.84807,                0.51916,                0.87563,              0.0004097,              0.0004097,              0.0004097
                     69,                0.75729,                0.52045,                0.86275,                0.88151,                0.80144,                0.88733,                0.66819,                0.88516,                 0.5204,                0.89221,             0.00040797,             0.00040797,             0.00040797
                     70,                0.75399,                0.50279,                0.87168,                0.84862,                 0.8411,                0.88003,                0.68144,                0.87369,                0.55629,                0.88903,             0.00040623,             0.00040623,             0.00040623
                     71,                0.78568,                0.49375,                0.87112,                0.87502,                0.82089,                0.89069,                0.66988,                 0.8745,                0.51481,                0.88703,             0.00040449,             0.00040449,             0.00040449
                     72,                0.77476,                0.51092,                0.86763,                0.83102,                0.87261,                0.87514,                 0.6683,                 0.8698,                0.51322,                0.88486,             0.00040276,             0.00040276,             0.00040276
                     73,                0.75551,                0.48825,                0.86433,                0.87968,                0.80088,                0.90393,                0.68879,                0.86935,                0.49268,                0.88241,             0.00040102,             0.00040102,             0.00040102
                     74,                0.75051,                0.48933,                0.86871,                0.82418,                0.76673,                0.86667,                0.67205,                0.85996,                0.50361,                0.87906,             0.00039929,             0.00039929,             0.00039929
                     75,                0.74456,                 0.4802,                0.86438,                0.79232,                0.78349,                0.84484,                0.64722,                0.87716,                0.52032,                0.88116,             0.00039755,             0.00039755,             0.00039755
                     76,                0.74694,                0.47646,                0.86252,                0.87095,                0.79597,                0.88228,                 0.6525,                0.87639,                0.48819,                0.88531,             0.00039581,             0.00039581,             0.00039581
                     77,                0.75386,                0.49033,                0.86833,                0.88077,                0.71876,                0.85884,                0.65463,                0.85397,                0.55706,                0.88122,             0.00039408,             0.00039408,             0.00039408
                     78,                0.71063,                0.45792,                0.85721,                0.77639,                0.87326,                0.86402,                0.66184,                0.84418,                0.51993,                0.87553,             0.00039234,             0.00039234,             0.00039234
                     79,                0.72955,                0.49172,                0.86431,                0.85939,                0.82399,                 0.8975,                0.69139,                0.84127,                0.50668,                0.87493,             0.00039061,             0.00039061,             0.00039061
                     80,                0.72382,                 0.4785,                0.86493,                0.89615,                  0.782,                0.90501,                0.68161,                 0.8389,                0.48961,                0.87656,             0.00038887,             0.00038887,             0.00038887
                     81,                0.74879,                0.49433,                0.86758,                0.91078,                0.84224,                0.89275,                0.68574,                0.86537,                0.50749,                0.88946,             0.00038714,             0.00038714,             0.00038714
                     82,                 0.7155,                0.45846,                0.85706,                 0.8089,                0.90045,                0.91163,                0.69421,                0.85244,                0.47254,                0.88102,              0.0003854,              0.0003854,              0.0003854
                     83,                 0.7409,                0.47314,                0.87248,                0.87753,                 0.8155,                0.90661,                0.69645,                 0.8666,                0.53626,                 0.8839,             0.00038366,             0.00038366,             0.00038366
                     84,                0.75103,                   0.48,                0.86565,                0.81594,                0.89333,                0.90989,                0.69051,                0.85466,                0.49716,                0.87851,             0.00038193,             0.00038193,             0.00038193
                     85,                0.73156,                0.46218,                0.87164,                0.91023,                0.86974,                0.94996,                0.70725,                 0.8565,                0.47709,                0.87817,             0.00038019,             0.00038019,             0.00038019
                     86,                0.72215,                0.46239,                0.85086,                0.89906,                0.82268,                0.90414,                0.69618,                 0.8514,                0.48865,                0.88394,             0.00037846,             0.00037846,             0.00037846
                     87,                0.70687,                0.45124,                0.85716,                0.87586,                0.89416,                0.92139,                0.71102,                0.84191,                0.47868,                0.87656,             0.00037672,             0.00037672,             0.00037672
                     88,                 0.7381,                 0.4588,                0.86923,                0.83272,                0.87265,                0.91111,                0.70956,                0.85901,                0.45109,                0.88441,             0.00037499,             0.00037499,             0.00037499
                     89,                0.72382,                0.46829,                0.86785,                0.84482,                0.84435,                0.91627,                0.69747,                0.84128,                0.45681,                0.88351,             0.00037325,             0.00037325,             0.00037325
                     90,                0.72515,                0.45009,                0.84998,                0.83053,                0.88644,                 0.9144,                0.68739,                0.85465,                0.47339,                0.88272,             0.00037151,             0.00037151,             0.00037151
                     91,                0.71669,                0.45999,                0.86312,                0.84589,                0.86133,                0.91303,                0.69847,                0.85865,                0.49811,                0.88652,             0.00036978,             0.00036978,             0.00036978
                     92,                 0.7003,                0.44648,                0.86324,                0.87255,                0.80159,                0.90382,                0.69397,                0.86666,                0.49589,                0.88411,             0.00036804,             0.00036804,             0.00036804
                     93,                0.69596,                0.47198,                0.85933,                0.82423,                0.80888,                0.85971,                0.65115,                0.86473,                0.50995,                0.88261,             0.00036631,             0.00036631,             0.00036631
                     94,                0.71549,                0.44863,                0.85852,                0.89537,                0.81403,                0.90892,                 0.6799,                0.87125,                0.49664,                 0.8837,             0.00036457,             0.00036457,             0.00036457
                     95,                0.73486,                0.45591,                0.85116,                0.85345,                0.91911,                0.90958,                 0.6932,                0.86197,                0.51883,                0.88774,             0.00036283,             0.00036283,             0.00036283
                     96,                0.71516,                 0.4447,                0.86422,                0.89418,                0.85402,                0.89374,                0.68328,                0.85874,                0.53586,                0.88437,              0.0003611,              0.0003611,              0.0003611
                     97,                0.69286,                0.43874,                0.85182,                0.86578,                0.83843,                0.89651,                0.68663,                0.86962,                0.52444,                0.88627,             0.00035936,             0.00035936,             0.00035936
                     98,                 0.6946,                0.44557,                 0.8608,                0.86132,                0.88649,                0.89667,                  0.679,                0.89114,                 0.5207,                0.89274,             0.00035763,             0.00035763,             0.00035763
                     99,                0.69551,                0.43567,                0.85349,                0.88118,                0.89362,                0.93609,                0.70316,                0.88678,                0.48428,                 0.8951,             0.00035589,             0.00035589,             0.00035589
                    100,                0.68546,                0.42909,                 0.8417,                0.92518,                0.84636,                 0.9467,                0.70802,                0.84721,                0.47365,                 0.8811,             0.00035416,             0.00035416,             0.00035416
                    101,                0.67574,                0.43946,                0.85365,                0.86941,                0.92448,                0.92573,                 0.7058,                 0.8448,                0.45132,                0.87837,             0.00035242,             0.00035242,             0.00035242
                    102,                0.68749,                0.43173,                0.84769,                0.89031,                0.91609,                0.94781,                0.72048,                0.85242,                0.46484,                 0.8836,             0.00035068,             0.00035068,             0.00035068
                    103,                0.68344,                  0.459,                0.85922,                0.87783,                0.87697,                 0.9031,                0.69673,                0.84784,                 0.4765,                0.87423,             0.00034895,             0.00034895,             0.00034895
                    104,                0.69938,                0.44805,                0.86294,                 0.8955,                0.87301,                0.91011,                 0.7171,                0.82795,                 0.4608,                0.87668,             0.00034721,             0.00034721,             0.00034721
                    105,                0.72278,                0.44865,                0.85082,                0.90213,                0.87904,                0.93406,                0.71241,                0.86064,                0.45857,                0.87579,             0.00034548,             0.00034548,             0.00034548
                    106,                0.65928,                0.41843,                0.85025,                0.88594,                0.89655,                 0.9513,                0.71473,                0.86198,                0.45177,                0.88046,             0.00034374,             0.00034374,             0.00034374
                    107,                 0.6673,                  0.422,                0.84768,                0.82854,                0.91263,                0.91113,                0.69516,                0.84679,                0.47729,                0.87929,             0.00034201,             0.00034201,             0.00034201
                    108,                0.65791,                0.41814,                0.84572,                0.88572,                0.85546,                0.92356,                0.71438,                0.84942,                0.46349,                0.88394,             0.00034027,             0.00034027,             0.00034027
                    109,                0.68094,                0.42015,                0.85354,                0.87391,                0.84569,                0.92113,                0.69618,                 0.8506,                0.44981,                0.87669,             0.00033853,             0.00033853,             0.00033853
                    110,                0.67437,                0.42346,                0.85727,                0.84193,                0.87785,                 0.9033,                0.70789,                0.84664,                0.45591,                 0.8817,              0.0003368,              0.0003368,              0.0003368
                    111,                0.67196,                0.41635,                0.84521,                0.86899,                0.87735,                0.91638,                0.69439,                0.85181,                0.47317,                0.88475,             0.00033506,             0.00033506,             0.00033506
