latitud,longitud,address
-17.4115836,-66.15623810000001,"Avenida Panamericana, Canata, Cercado, Cochabamba, Bolivia"
-17.419565300000002,-66.15770450000001,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4197028,-66.1577249,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4197028,-66.1577249,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4197543,-66.15773440000001,"Avenida Panamericana, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.4197543,-66.15773440000001,"Avenida Panamericana, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.4198092,-66.1577431,"Avenida Panamericana, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.419855700000003,-66.15774900000001,"Avenida Panamericana, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.419855700000003,-66.15774900000001,"Avenida Panamericana, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.419901,-66.1577548,"Avenida Panamericana, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.4203929,-66.1581431,"Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.420429300000002,-66.1581197,"Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.420465,-66.15810230000001,"Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.4204952,-66.1581039,"Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.4205232,-66.1580967,"Calle Manuel Via, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.4205462,-66.15808120000001,"Calle Manuel Via, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.420573,-66.15808820000001,"Calle Manuel Via, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.420602900000002,-66.1580857,"Parroquia María Auxiliadora, Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.428997900000002,-66.159563,"Avenida Panamericana, Lindo, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.418904400000002,-66.1593773,"Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.4189534,-66.1593326,"Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.4203809,-66.15815450000001,"Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.420403800000003,-66.1581321,"Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.4210995,-66.157892,"Avenida Panamericana, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.4210995,-66.157892,"Avenida Panamericana, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.4211402,-66.15790100000001,"Avenida Panamericana, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.421200600000002,-66.1579095,"Avenida Panamericana, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.427395500000003,-66.15923140000001,"Avenida Panamericana, Loreto Sud, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.427395500000003,-66.15923140000001,"Avenida Panamericana, Loreto Sud, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.427427,-66.1592401,"Avenida Panamericana, Loreto Sud, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.427427,-66.1592401,"Avenida Panamericana, Loreto Sud, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.427454700000002,-66.15924740000001,"Avenida Mártires de la Democracia, Loreto Sud, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4275752,-66.1592789,"Avenida Panamericana, Lindo, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.427664800000002,-66.1593064,"Avenida Panamericana, Lindo, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4277109,-66.15931710000001,"Avenida Panamericana, Lindo, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.427799,-66.1593496,"Avenida Mártires de la Democracia, Loreto Sud, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4278455,-66.1593642,"Avenida Mártires de la Democracia, Loreto Sud, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4190364,-66.1593096,"Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.420271500000002,-66.1582522,"Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.4204641,-66.1581014,"Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.4205139,-66.1580715,"Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.420795700000003,-66.1580024,"Parroquia María Auxiliadora, Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.420831800000002,-66.1579882,"Parroquia María Auxiliadora, Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.420831800000002,-66.1579882,"Parroquia María Auxiliadora, Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.4208761,-66.15797400000001,"Parroquia María Auxiliadora, Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.4208761,-66.15797400000001,"Parroquia María Auxiliadora, Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.4209234,-66.15796230000001,"Parroquia María Auxiliadora, Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.420983200000002,-66.1579535,"Parroquia María Auxiliadora, Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.421023700000003,-66.1579784,"Parroquia María Auxiliadora, Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.421103300000002,-66.1579196,"Avenida Panamericana, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.421169600000002,-66.15792160000001,"Avenida Panamericana, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.4212045,-66.1579128,"Avenida Panamericana, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.4196598,-66.1576948,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4196804,-66.1577211,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4197808,-66.15859520000001,"Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.4195931,-66.15876370000001,"Avenida de la Patria, San Luis Copacabana, Cercado, Cochabamba, Bolivia"
-17.4196853,-66.1600258,"Calle Todos Santos, Tercera Villa Sud, Cercado, Cochabamba, Bolivia"
-17.420245400000002,-66.16012140000001,"Avenida Mártires de la Democracia, Tercera Villa Sud, Cercado, Cochabamba, Bolivia"
-17.420245400000002,-66.16012140000001,"Avenida Mártires de la Democracia, Tercera Villa Sud, Cercado, Cochabamba, Bolivia"
-17.4202884,-66.160134,"Avenida Mártires de la Democracia, Tercera Villa Sud, Cercado, Cochabamba, Bolivia"
-17.4202884,-66.160134,"Avenida Mártires de la Democracia, Tercera Villa Sud, Cercado, Cochabamba, Bolivia"
-17.420332600000002,-66.16014530000001,"Avenida Mártires de la Democracia, Tercera Villa Sud, Cercado, Cochabamba, Bolivia"
-17.4203742,-66.1601576,"Avenida Mártires de la Democracia, Tercera Villa Sud, Cercado, Cochabamba, Bolivia"
-17.4204067,-66.1601701,"Avenida Mártires de la Democracia, Tercera Villa Sud, Cercado, Cochabamba, Bolivia"
-17.4204383,-66.16018030000001,"Avenida Mártires de la Democracia, Tercera Villa Sud, Cercado, Cochabamba, Bolivia"
-17.4204383,-66.16018030000001,"Avenida Mártires de la Democracia, Tercera Villa Sud, Cercado, Cochabamba, Bolivia"
-17.4204715,-66.16019130000001,"Avenida Mártires de la Democracia, Tercera Villa Sud, Cercado, Cochabamba, Bolivia"
-17.4205042,-66.16018940000001,"Avenida Mártires de la Democracia, Tercera Villa Sud, Cercado, Cochabamba, Bolivia"
-17.4276884,-66.1592629,"Avenida Panamericana, Lindo, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4286323,-66.1581355,"Calle Santa Lucía, Santa Bárbara Norte, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4217087,-66.1544188,"Calle Nicasio Ríos, Villa Rosario Ticti, Cercado, Cochabamba, Bolivia"
-17.424526,-66.15399470000001,"Avenida Petrolera, Villa Rosario Ticti, Cercado, Cochabamba, Bolivia"
-17.4211679,-66.16009430000001,"Avenida Mártires de la Democracia, Loreto Sud, Cercado, Cochabamba, Bolivia"
-17.4211102,-66.16008550000001,"Avenida Mártires de la Democracia, Loreto Sud, Cercado, Cochabamba, Bolivia"
-17.4210594,-66.1600786,"Avenida Mártires de la Democracia, Loreto Sud, Cercado, Cochabamba, Bolivia"
-17.411730799999997,-66.164724,"Avenida de la Fuerza Aérea, Jaihuayco, Cercado, Cochabamba, Bolivia"
-17.411730799999997,-66.164724,"Avenida de la Fuerza Aérea, Jaihuayco, Cercado, Cochabamba, Bolivia"
-17.4116781,-66.1647147,"Avenida de la Fuerza Aérea, Jaihuayco, Cercado, Cochabamba, Bolivia"
-17.4116781,-66.1647147,"Avenida de la Fuerza Aérea, Jaihuayco, Cercado, Cochabamba, Bolivia"
-17.4116373,-66.164703,"Avenida de la Fuerza Aérea, Jaihuayco, Cercado, Cochabamba, Bolivia"
-17.4116008,-66.1646941,"Avenida de la Fuerza Aérea, Jaihuayco, Cercado, Cochabamba, Bolivia"
-17.4116008,-66.1646941,"Avenida de la Fuerza Aérea, Jaihuayco, Cercado, Cochabamba, Bolivia"
-17.411567299999998,-66.16469000000001,"Avenida de la Fuerza Aérea, Jaihuayco, Cercado, Cochabamba, Bolivia"
-17.41154,-66.1647009,"Avenida de la Fuerza Aérea, Jaihuayco, Cercado, Cochabamba, Bolivia"
-17.4091289,-66.1676156,"Avenida 6 de Agosto, Guillermo Killman, Cercado, Cochabamba, Bolivia"
-17.4091122,-66.1676489,"Avenida 6 de Agosto, Guillermo Killman, Cercado, Cochabamba, Bolivia"
-17.4091122,-66.1676489,"Avenida 6 de Agosto, Guillermo Killman, Cercado, Cochabamba, Bolivia"
-17.4090949,-66.1676939,"Avenida 6 de Agosto, Guillermo Killman, Cercado, Cochabamba, Bolivia"
